# kappa_CO Color Extended Emission_line_flux
-8.887942422622245597e-02 5.592672480101211763e-01 -2.499529877663484445e-01 2.582887889743078202e-02
-1.742888237743340119e+00 -2.481673322840127205e-01 1.075336947256505110e-01 1.320954071360847318e-02
1.677716452251855950e+00 8.688483447242677515e-01 -1.889522270697898965e-01 1.495606776853796414e-02
-5.256061866198592503e-01 -2.678992664776084220e-01 8.238615521566720890e-02 2.054289172393030868e-02
1.064088909048600096e+00 7.829075422956127683e-01 -5.907140979339596532e-02 1.785915590352227245e-02
-1.436912225520702968e+00 -8.452710089328571152e-01 -4.978417078865838424e-02 9.723069991168930767e-03
-5.727349789877804742e-01 3.723461005161090576e-01 -1.855009961921015582e-02 5.549541812771415991e-03
-1.742961750417534872e-01 1.900524996964888302e+00 -2.567867438795127799e-01 1.550661733573067622e-02
-4.204738915058188753e-01 -7.725987238371540000e-01 -2.046533712994584031e-01 1.380788772615178760e-02
-5.751778716974704775e-01 1.365723239664272004e+00 -1.927442659809937564e-01 1.044905081794158218e-02
-1.404882600520512143e-02 9.701732376646442571e-03 -2.078510108652674160e-01 1.618941053041379058e-02
-6.455787277923612510e-01 5.128185831239230330e-01 -1.674207169134371842e-01 3.117353231566605959e-02
-1.709185832503938851e+00 -9.360819373041943114e-01 3.094561852679369313e-02 4.908061577179132634e-03
1.508426937745670937e+00 -2.959966259786466283e-02 -2.346869198136425083e-01 1.414438434762220302e-02
8.031623187438445832e-01 6.264703180248145653e-01 -2.513945394785258025e-01 -9.637668324623352781e-03
1.774152363346505279e+00 8.638290463614555215e-01 -2.528045713452502508e-01 2.347725386739132197e-02
1.693778473145639285e-01 2.950841284155958366e-01 -2.080504122649600163e-01 5.990382386284903195e-03
1.424446094998672585e+00 2.469575913787819044e+00 -2.507218675871358826e-01 1.541215955875849426e-02
1.331303182288081643e-01 -1.726411975116933784e+00 -6.197474197622657860e-02 7.010155591037101758e-03
-1.026239396446356755e+00 -2.151392414703908462e-01 -2.053119889773356577e-01 8.017213617189605443e-03
8.444672994278443201e-02 -4.736109356564237038e-01 -2.530406551626793177e-01 2.723641402125129632e-02
1.611181339121068978e+00 1.271898892484345067e+00 7.532886423176017310e-01 2.250555510531982231e-02
2.446167193405695273e-01 -2.487229915393637456e-02 5.129815446683527735e-01 7.587746597327012753e-03
1.216470346993517415e+00 1.517166791972422768e+00 -1.768385671165758621e-01 1.740628309567696791e-02
1.071268262549446293e+00 9.663282055085975486e-01 -1.442246288341805516e-01 6.927087086807510140e-03
5.490950741324746032e-01 6.034844026334196254e-01 -2.320868497334749592e-01 1.057841103338442862e-01
7.451633133569844913e-01 7.791465265235592019e-02 -2.499182137920162861e-01 -5.477567365768243600e-06
2.969416431175003757e-01 2.049527939568095203e+00 -9.971777227058212234e-02 -8.109120793489211013e-03
-1.500038707552521666e+00 -1.218532751833712319e-01 2.183991798052455025e+00 6.765283271864136645e-03
1.279413424837751112e+00 8.240041515498283120e-01 -2.545788476851758020e-01 2.059972886692132410e-02
1.803880469514495433e+00 1.126607744941099165e+00 8.199698583380365946e-02 1.220378957034155311e-02
-1.725214406207249640e+00 -9.199341465413030106e-01 -1.225019597591616854e-01 8.119016965857183896e-03
-1.415512771621884047e+00 -1.400315055082699045e+00 -1.649184328465834459e-01 8.507089396448747759e-03
1.007363840787697473e+00 4.925153268565763964e-01 -2.430784383435318774e-01 8.741741087236543431e-03
2.538596796260429445e-01 1.673787621266874970e+00 -2.441748692507295648e-01 6.543352525232022480e-03
1.702346105949020361e+00 9.379707697781912712e-01 -2.038672231980622196e-01 -1.195363172377361151e-02
-8.487815345556936064e-01 -4.391296971433351071e-01 -1.970077479550228772e-01 1.469673215056333318e-02
-1.757042637360827886e+00 -5.877602974318896223e-01 1.765238980373227832e-03 9.831134422161878425e-03
-1.229299983105940075e-01 4.838053900593297096e-01 1.903540848526286688e-01 1.500562744911026168e-02
-1.308183595105399111e-01 -6.967888756079069212e-01 -2.494187209326603760e-01 1.003062229283552959e-02
1.755492978424409545e+00 6.161326558718897006e-01 3.036500623938040988e-01 1.037581511069527070e-02
6.630446778703517063e-01 5.505928958584581645e-01 1.466487087763333585e+00 1.979508185402710160e-02
1.746399356186337126e+00 1.459472018071971506e-03 9.375605549302479247e-01 6.707402996274802742e-02
9.675591501271396666e-01 2.306402014828901892e-01 -1.769211275915536508e-01 -1.086128374538779771e-02
-5.546138138840016607e-01 -5.336275355721123992e-01 -2.217792219123089770e-01 8.341926065580970717e-03
8.538716297461838023e-01 1.257197897084857130e-01 -2.318988265515276870e-01 1.405166406114402924e-02
-1.506938449289549231e+00 -3.291516951391005863e-01 -4.775076480917123806e-02 4.741068875151416913e-04
9.931479798796721825e-01 7.146551077714909939e-01 -2.144527261724135103e-01 1.687367275501474792e-02
1.130701891130964309e+00 1.809573989373649328e+00 -7.621548395146203470e-02 2.346328231666602523e-02
1.457371031760671676e-01 1.030569968550678839e+00 -2.116352881060715452e-01 1.307948252877831966e-02
6.447873994857185320e-02 -2.145379779964771139e+00 2.299606965860301333e-02 7.000416359220174196e-03
1.434420514196786511e+00 -6.667255019559914508e-01 -2.489848366248471612e-01 1.046550013132838131e-02
3.917228374163182480e-01 3.145860313992636659e-01 -2.055945011985487250e-02 -1.286487009793237379e-01
4.543750431048208527e-01 3.492525385670964266e-01 -2.258739834611740438e-01 8.766030394484904120e-03
3.001090832263660912e-01 1.995736444059905690e+00 -1.745185972197783597e-01 2.622685463194536146e-02
1.731574384769728692e+00 1.405659781811957387e+00 -2.525400703189127349e-01 1.573153622442617985e-02
7.187810469892331744e-01 1.392178598585103400e+00 -1.626087254867976395e-01 -1.303557306881502620e-01
1.761436968936959335e+00 -5.539795668295703912e-01 -6.297752643582370247e-02 1.896726195487877589e-02
-3.671794529154423503e-01 -5.715642938596569023e-01 -2.341340471154829961e-01 9.529136158913060345e-03
-8.462921269773893140e-01 -1.926727464497886011e+00 4.481373596618846294e-02 7.609304681856624009e-03
2.567799060065713568e-01 6.729153557956072396e-01 -2.189431891115573292e-01 -5.972024672985672133e-02
1.762033839208387853e+00 1.186212995506133794e+00 7.092652397038362588e-01 1.828019051849682011e-02
1.087820888291561428e+00 7.874573175790290369e-01 1.909402681179960537e-01 1.103547474274973322e-02
